Ribosomal_L28_int_Ribosomal_L9_N, seqPair 1, auc = 0.796, sens = 0.571, spec = 1.000, blAUC = 0.959, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 28, auc = 0.882, sens = 0.692, spec = 0.818, blAUC = 0.882, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 21, auc = 0.959, sens = 1.000, spec = 0.812, blAUC = 0.988, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 7, auc = 0.945, sens = 1.000, spec = 0.905, blAUC = 0.903, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 29, auc = 1.000, sens = 0.875, spec = 1.000, blAUC = 0.922, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 21, auc = 0.984, sens = 0.875, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 3, auc = 0.826, sens = 0.636, spec = 0.875, blAUC = 0.760, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 29, auc = 0.993, sens = 1.000, spec = 0.923, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 20, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 22, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 8, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 30, auc = 0.660, sens = 0.833, spec = 0.556, blAUC = 0.507, blSens = 0.000, blSpec = 0.000.
GFRP_int_GTP_cyclohydroI, seqPair 30, auc = 0.727, sens = 0.727, spec = 1.000, blAUC = 0.926, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 6, auc = 0.979, sens = 0.953, spec = 0.932, blAUC = 0.985, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 22, auc = 0.778, sens = 1.000, spec = 0.500, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 21, auc = 1.000, sens = 1.000, spec = 0.938, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
EpoR_lig-bind_int_fn3, seqPair 31, auc = 0.562, sens = 0.250, spec = 0.500, blAUC = 0.562, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 9, auc = 0.775, sens = 0.455, spec = 0.909, blAUC = 0.998, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 23, auc = 0.944, sens = 0.667, spec = 0.800, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 1, auc = 0.853, sens = 0.955, spec = 0.700, blAUC = 0.969, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 23, auc = 0.969, sens = 1.000, spec = 0.889, blAUC = 0.984, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 4, auc = 0.520, sens = 0.500, spec = 0.625, blAUC = 0.670, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 22, auc = 1.000, sens = 0.947, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 10, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.984, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 24, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 2, auc = 0.958, sens = 0.700, spec = 0.933, blAUC = 0.953, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 24, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 1, auc = 0.910, sens = 0.100, spec = 1.000, blAUC = 0.790, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 11, auc = 0.884, sens = 0.409, spec = 0.818, blAUC = 0.907, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 23, auc = 0.996, sens = 0.933, spec = 1.000, blAUC = 0.987, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 25, auc = 0.870, sens = 1.000, spec = 0.867, blAUC = 0.822, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 5, auc = 0.697, sens = 0.400, spec = 0.750, blAUC = 0.510, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 25, auc = 0.852, sens = 0.538, spec = 1.000, blAUC = 0.893, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 12, auc = 0.980, sens = 0.857, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 3, auc = 0.954, sens = 0.429, spec = 1.000, blAUC = 0.878, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 24, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 26, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 7, auc = 0.837, sens = 0.882, spec = 0.750, blAUC = 0.862, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 2, auc = 0.839, sens = 0.545, spec = 0.750, blAUC = 0.829, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 13, auc = 0.998, sens = 1.000, spec = 0.920, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 26, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 4, auc = 0.347, sens = 0.000, spec = 0.000, blAUC = 0.389, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 25, auc = 1.000, sens = 0.875, spec = 1.000, blAUC = 0.984, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 27, auc = 1.000, sens = 0.667, spec = 1.000, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 14, auc = 0.938, sens = 1.000, spec = 0.889, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 6, auc = 0.820, sens = 0.478, spec = 0.917, blAUC = 0.575, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 27, auc = 0.878, sens = 0.143, spec = 1.000, blAUC = 0.857, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 5, auc = 0.219, sens = 0.077, spec = 0.200, blAUC = 0.308, blSens = 0.000, blSpec = 0.000.
E2_bind_int_ThiF, seqPair 26, auc = 1.000, sens = 0.714, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 28, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 3, auc = 0.907, sens = 0.824, spec = 0.875, blAUC = 0.913, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 15, auc = 0.989, sens = 1.000, spec = 0.893, blAUC = 0.995, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 28, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 29, auc = 0.923, sens = 1.000, spec = 0.867, blAUC = 0.822, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 6, auc = 0.332, sens = 0.000, spec = 0.000, blAUC = 0.562, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 16, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 7, auc = 0.198, sens = 0.000, spec = 0.000, blAUC = 0.889, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 29, auc = 0.980, sens = 1.000, spec = 0.824, blAUC = 0.964, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 4, auc = 1.000, sens = 0.800, spec = 1.000, blAUC = 0.960, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 8, auc = 0.934, sens = 0.676, spec = 0.893, blAUC = 0.947, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 30, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 17, auc = 0.996, sens = 1.000, spec = 0.846, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 7, auc = 0.857, sens = 0.000, spec = 0.000, blAUC = 0.286, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 1, auc = 0.467, sens = 0.286, spec = 0.714, blAUC = 0.714, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 30, auc = 0.750, sens = 0.500, spec = 0.500, blAUC = 0.750, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 18, auc = 0.969, sens = 0.625, spec = 1.000, blAUC = 0.906, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 31, auc = 0.980, sens = 0.714, spec = 1.000, blAUC = 0.980, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 8, auc = 0.689, sens = 0.381, spec = 1.000, blAUC = 0.914, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 8, auc = 0.481, sens = 0.111, spec = 0.250, blAUC = 0.605, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 5, auc = 1.000, sens = 1.000, spec = 0.960, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 31, auc = 0.950, sens = 0.900, spec = 0.900, blAUC = 0.970, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 19, auc = 0.948, sens = 0.542, spec = 0.929, blAUC = 0.905, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 32, auc = 0.980, sens = 1.000, spec = 0.875, blAUC = 0.980, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 9, auc = 0.995, sens = 0.929, spec = 1.000, blAUC = 0.995, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 32, auc = 0.917, sens = 0.667, spec = 1.000, blAUC = 0.889, blSens = 0.000, blSpec = 0.000.
Rieske_int_V-set, seqPair 20, auc = 1.000, sens = 1.000, spec = 0.889, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 2, auc = 0.602, sens = 0.320, spec = 0.800, blAUC = 0.648, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 33, auc = 1.000, sens = 1.000, spec = 0.812, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 6, auc = 0.796, sens = 0.706, spec = 0.800, blAUC = 0.848, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 9, auc = 0.688, sens = 0.280, spec = 0.778, blAUC = 0.570, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 10, auc = 0.980, sens = 0.429, spec = 1.000, blAUC = 0.980, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 9, auc = 0.519, sens = 0.176, spec = 0.600, blAUC = 0.817, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 33, auc = 0.832, sens = 0.786, spec = 0.846, blAUC = 0.719, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 34, auc = 1.000, sens = 1.000, spec = 0.929, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 11, auc = 0.980, sens = 0.929, spec = 0.867, blAUC = 0.923, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 34, auc = 0.491, sens = 0.308, spec = 0.667, blAUC = 0.402, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 35, auc = 0.878, sens = 1.000, spec = 0.778, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 7, auc = 0.852, sens = 0.778, spec = 0.700, blAUC = 0.802, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 10, auc = 0.926, sens = 0.893, spec = 0.862, blAUC = 0.926, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 3, auc = 0.534, sens = 0.324, spec = 0.632, blAUC = 0.668, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 35, auc = 1.000, sens = 0.714, spec = 1.000, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 12, auc = 0.929, sens = 0.214, spec = 1.000, blAUC = 0.857, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 36, auc = 0.778, sens = 0.667, spec = 0.667, blAUC = 0.944, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 36, auc = 0.867, sens = 0.867, spec = 0.867, blAUC = 0.964, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 8, auc = 0.880, sens = 0.409, spec = 0.900, blAUC = 0.620, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 13, auc = 0.889, sens = 0.200, spec = 1.000, blAUC = 0.916, blSens = 0.000, blSpec = 0.000.
Desulfoferrod_N_int_Desulfoferrodox, seqPair 37, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 10, auc = 0.956, sens = 0.947, spec = 0.900, blAUC = 0.978, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 11, auc = 0.670, sens = 0.200, spec = 0.667, blAUC = 0.670, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 4, auc = 0.940, sens = 0.864, spec = 0.905, blAUC = 0.909, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 37, auc = 0.990, sens = 0.900, spec = 0.900, blAUC = 0.990, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 14, auc = 0.882, sens = 0.692, spec = 0.900, blAUC = 0.929, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 9, auc = 0.702, sens = 0.647, spec = 0.647, blAUC = 0.730, blSens = 0.000, blSpec = 0.000.
MHC_II_alpha_int_V-set, seqPair 38, auc = 1.000, sens = 0.818, spec = 1.000, blAUC = 0.992, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 15, auc = 0.980, sens = 0.786, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 12, auc = 0.880, sens = 0.700, spec = 0.875, blAUC = 0.950, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 1, auc = 0.944, sens = 0.975, spec = 0.830, blAUC = 0.994, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 5, auc = 0.784, sens = 0.608, spec = 0.721, blAUC = 0.796, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 16, auc = 1.000, sens = 1.000, spec = 0.812, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 10, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 0.918, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 11, auc = 0.322, sens = 0.294, spec = 0.714, blAUC = 0.830, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 13, auc = 0.873, sens = 0.833, spec = 0.800, blAUC = 0.922, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 17, auc = 0.964, sens = 0.867, spec = 0.929, blAUC = 0.960, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 11, auc = 0.754, sens = 0.000, spec = 0.000, blAUC = 0.785, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 18, auc = 0.740, sens = 0.500, spec = 1.000, blAUC = 0.888, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 6, auc = 0.860, sens = 0.714, spec = 0.758, blAUC = 0.665, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 2, auc = 0.994, sens = 1.000, spec = 0.900, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 14, auc = 0.323, sens = 0.071, spec = 0.222, blAUC = 0.584, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 19, auc = 0.898, sens = 0.857, spec = 0.800, blAUC = 0.959, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 12, auc = 0.902, sens = 0.800, spec = 0.909, blAUC = 0.718, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 12, auc = 0.992, sens = 1.000, spec = 0.860, blAUC = 0.985, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 20, auc = 0.942, sens = 0.933, spec = 0.933, blAUC = 0.964, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 7, auc = 0.792, sens = 0.692, spec = 0.735, blAUC = 0.816, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 15, auc = 0.950, sens = 1.000, spec = 0.833, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 13, auc = 0.722, sens = 0.000, spec = 0.000, blAUC = 0.861, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 21, auc = 1.000, sens = 1.000, spec = 0.923, blAUC = 0.986, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 3, auc = 0.784, sens = 0.667, spec = 0.800, blAUC = 0.688, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 22, auc = 0.491, sens = 0.077, spec = 0.200, blAUC = 0.675, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 16, auc = 0.753, sens = 0.667, spec = 0.750, blAUC = 0.877, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 14, auc = 0.859, sens = 0.750, spec = 0.923, blAUC = 0.848, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 8, auc = 0.662, sens = 0.560, spec = 0.583, blAUC = 0.795, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 13, auc = 0.574, sens = 0.176, spec = 0.750, blAUC = 0.803, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 23, auc = 1.000, sens = 0.909, spec = 1.000, blAUC = 0.992, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 15, auc = 0.753, sens = 0.444, spec = 0.667, blAUC = 0.827, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 24, auc = 0.942, sens = 1.000, spec = 0.917, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 17, auc = 0.987, sens = 1.000, spec = 0.958, blAUC = 0.996, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 4, auc = 0.638, sens = 0.275, spec = 0.611, blAUC = 0.515, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 9, auc = 0.660, sens = 0.647, spec = 0.710, blAUC = 0.688, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 25, auc = 0.979, sens = 0.917, spec = 0.917, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 16, auc = 0.778, sens = 0.111, spec = 1.000, blAUC = 0.753, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 18, auc = 0.932, sens = 0.750, spec = 0.818, blAUC = 0.722, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 26, auc = 0.489, sens = 0.200, spec = 0.600, blAUC = 0.560, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 14, auc = 0.525, sens = 0.070, spec = 0.500, blAUC = 0.697, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 5, auc = 0.938, sens = 0.852, spec = 0.885, blAUC = 0.949, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 10, auc = 0.603, sens = 0.238, spec = 0.500, blAUC = 0.526, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 27, auc = 0.827, sens = 0.556, spec = 0.714, blAUC = 0.963, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 17, auc = 0.959, sens = 0.857, spec = 0.750, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 19, auc = 0.520, sens = 0.400, spec = 0.800, blAUC = 0.920, blSens = 0.000, blSpec = 0.000.
UreE_C_int_UreE_N, seqPair 28, auc = 0.828, sens = 0.062, spec = 0.500, blAUC = 0.969, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 18, auc = 0.800, sens = 0.500, spec = 0.833, blAUC = 0.760, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 20, auc = 0.802, sens = 0.000, spec = 0.000, blAUC = 0.331, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 11, auc = 0.963, sens = 1.000, spec = 0.919, blAUC = 0.995, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 6, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 15, auc = 0.985, sens = 1.000, spec = 0.952, blAUC = 0.995, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 19, auc = 0.982, sens = 1.000, spec = 0.929, blAUC = 0.941, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 21, auc = 0.977, sens = 0.964, spec = 0.818, blAUC = 0.994, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 12, auc = 0.632, sens = 0.421, spec = 0.727, blAUC = 0.507, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 20, auc = 0.992, sens = 0.947, spec = 1.000, blAUC = 0.950, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 7, auc = 1.000, sens = 0.667, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 22, auc = 0.184, sens = 0.062, spec = 1.000, blAUC = 0.902, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 16, auc = 0.870, sens = 0.900, spec = 0.837, blAUC = 0.875, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 21, auc = 0.954, sens = 0.929, spec = 0.722, blAUC = 0.964, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 13, auc = 0.597, sens = 0.277, spec = 0.684, blAUC = 0.619, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 23, auc = 0.983, sens = 0.909, spec = 0.952, blAUC = 0.988, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 22, auc = 1.000, sens = 0.857, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 8, auc = 0.865, sens = 0.650, spec = 0.867, blAUC = 0.882, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 14, auc = 0.585, sens = 0.371, spec = 0.684, blAUC = 0.639, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 17, auc = 0.978, sens = 1.000, spec = 0.833, blAUC = 0.993, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 24, auc = 0.516, sens = 0.226, spec = 0.583, blAUC = 0.689, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 23, auc = 0.738, sens = 0.500, spec = 0.909, blAUC = 0.845, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 25, auc = 0.876, sens = 0.909, spec = 0.714, blAUC = 0.926, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 24, auc = 0.786, sens = 0.571, spec = 0.727, blAUC = 0.811, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 9, auc = 1.000, sens = 1.000, spec = 1.000, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 15, auc = 0.401, sens = 0.312, spec = 0.366, blAUC = 0.493, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 18, auc = 0.788, sens = 0.462, spec = 0.900, blAUC = 0.792, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 25, auc = 1.000, sens = 1.000, spec = 0.875, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 26, auc = 1.000, sens = 1.000, spec = 0.846, blAUC = 1.000, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 16, auc = 0.731, sens = 0.053, spec = 0.500, blAUC = 0.806, blSens = 0.000, blSpec = 0.000.
Activin_recp_int_TGF_beta, seqPair 10, auc = 0.985, sens = 1.000, spec = 0.933, blAUC = 0.995, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 26, auc = 0.578, sens = 0.350, spec = 0.778, blAUC = 0.850, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 27, auc = 0.906, sens = 0.871, spec = 0.818, blAUC = 0.951, blSens = 0.000, blSpec = 0.000.
DrsE_int_DsrH, seqPair 17, auc = 0.624, sens = 0.424, spec = 0.636, blAUC = 0.539, blSens = 0.000, blSpec = 0.000.
efhand_int_Troponin, seqPair 27, auc = 0.954, sens = 0.857, spec = 0.857, blAUC = 0.918, blSens = 0.000, blSpec = 0.000.
FGF_int_I-set, seqPair 19, auc = 0.972, sens = 0.944, spec = 0.895, blAUC = 0.972, blSens = 0.000, blSpec = 0.000.
TetR_C_2_int_TetR_N, seqPair 28, auc = 0.981, sens = 0.885, spec = 0.885, blAUC = 0.873, blSens = 0.000, blSpec = 0.000.
